["教育程度", "type"]	["哪种类型是entity的毕业学校？"]
["states", "religion"]	["使用entity的地区的宗教是什么？"]
["before", "north"]	["哪个城市位于entity的前任的北部？"]
["政权", "event"]	["哪个文件","事件影响了entity的的灭绝并在欧洲结束了第二次世界大战？"]
["channel", "subsid"]	["entity的电视台子公司的名称是什么？"]
["before", "list2."]	["谁是1904年entity的前任最好的右手投手？"]
["after", "manager"]	["谁是entity的的经理？"]
["birthPlace", "p"]	["如何用汉语拼音拼写entity的出生地？","entity的出生地的中文拼音是什么？"]
["operator", "commander"]	["我们应该称之为entity的相关运营A方是的指挥官？"]
["cityofbirth", "leader"]	["谁是entity的出生地的领导者？"]
["教育程度", "regionalLanguages"]	["哪种语言是entity的毕业学校中的区域语言？"]
["title", "referee"]	["谁是entity的标题的裁判？"]
["place", "governor"]	["谁是entity的地址的现任州长？"]
["birthPlace", "mayor"]	["谁是entity的出生地的市长？"]
["location", "motto"]	["什么是entity的位置的座右铭？"]
["popplace", "officialReligion"]	["哪一项是entity的主要分布区域第一修正案的宗教条款中规定的受宪法保护的权利？"]
["popplace", "label"]	["entity的主要分布区域的标签是什么？"]
["doctoralAdvisor", "notableStudents"]	["谁是entity的博士生导师最着名的学生？"]
["operator", "caption"]	["entity的相关运营A方是的标识是什么？"]
["successor", "currency"]	["entity的一CLPM代产品的货币是什么？"]
["director", "influenced"]	["谁影响了entity的导演？"]
["連載雜誌", "author"]	["谁是连载entity的杂志的作者？"]
["languages", "child"]	["什么属于entity使用的语言？"]
["predecessor", "succession"]	["谁是entity的前代产品的继承人？"]
["neighbor", "translitLang1Type"]	["什么是entity的邻近城市的翻译方案？"]
["title", "region"]	["entity的标题属于哪个列表？","哪个列表包含entity的标题？"]
["nation", "governingBody"]	["entity所属国家的管理机构是什么？"]
["placeOfDeath", "officialReligion"]	["哪一项是entity的逝世地址第一修正案的宗教条款中规定的受宪法保护的权利？"]
["nation", "officialLanguages"]	["entity所属国家的官方语言是什么？"]
["主君", "placeOfDeath"]	["entity效力的君主死在哪里？","这是entity效力的君主的死亡地点？"]
["moreUsers", "leaderTitle"]	["使用entity的国家在哪里作为leaderTitle？"]
["leader", "leader"]	["谁是entity的领导人的领导者？"]
["plat", "logo"]	["entity的发布平台的标识是什么？"]
["office", "seat"]	["发现entity担任的要职的地方是什么？"]
["after", "ground"]	["entity的的主场在哪里？"]
["deathPlace", "governmentType"]	["entity逝世的地方政府类型是什么？"]
["deathPlace", "timezone"]	["entity逝世的地方属于哪个时区？"]
["locationCity", "soil"]	["entity的所在地的州土壤是什么？"]
["currentMembers", "label"]	["entity的现任成员的标签是什么？"]
["deathPlace", "southeast"]	["哪个城市位于entity逝世的地方的东南部？"]
["producer", "ancestry"]	["entity的制片人的家人来自哪里？","entity的制片人的故乡是什么？"]
["religion", "author"]	["谁是entity信仰的作者？"]
["location", "governor"]	["谁是entity的位置的现任州长？"]
["subdivisionName", "mayor"]	["谁是entity的市长？"]
["政权", "eventEnd"]	["什么时候entity的解散了？"]
["placeOfDeath", "house"]	["entity的逝世地址有什么样的立法机构？"]
["subdivisionName", "caption"]	["entity的标识是什么？"]
["頻道", "sisterNames"]	["什么是放映entity的频道的姐妹名字？"]
["所在", "leaderName"]	["谁是entity所在的城市的领导者？"]
["居住地", "callingCode"]	["什么是entity的居住地中的调用代码？"]
["leaderParty", "ideology"]	["什么是entity的的政治意识形态？"]
["garrison", "upperHouse"]	["什么是entity驻守的区域的上议院？"]
["garrison", "lowerHouse"]	["什么是entity驻守的区域的下议院？"]
["garrison", "leaderTitle"]	["entity驻守的区域在哪里作为leaderTitle？"]
["garrison", "religion"]	["entity驻守的区域的宗教是什么？"]
["garrison", "translitLang1Type"]	["什么是entity驻守的区域的翻译方案？"]
["birthPlace", "location"]	["entity的出生地在哪里？"]
["builder", "title"]	["什么是entity的建造商的名字？"]
["prev", "title"]	["什么是entity的的名字？"]
["citizenship", "governmentType"]	["entity的公民身份政府类型是什么？"]
["birthPlace", "seatType"]	["entity的出生地的行政级别是什么？"]
["nextAlbum", "writer"]	["谁写过entityLC之后的一CLPM部专辑？","谁是entityLC之后的一CLPM部专辑的作者？"]
["builder", "subsid"]	["entity的建造商子公司的名称是什么？"]
["region", "reptile"]	["什么是entity所在的行政区的官方国家爬行动物？"]
["region", "soil"]	["entity所在的行政区的州土壤是什么？"]
["owner", "lowerHouse"]	["什么是entity的总裁的下议院？"]
["occupation", "youthWing"]	["entity的职业的青年翼是什么？"]
["platform", "dialects"]	["entity的运行平台的方言是什么？"]
["leader", "governor"]	["谁是entity的领导人的现任州长？"]
["monarch", "house"]	["entity有什么样的立法机构？"]
["office", "party"]	["entity担任的要职属于哪一方？"]
["居住地", "timezone"]	["entity的居住地属于哪个时区？"]
["binomialAuthority", "associatedActs"]	["谁与entity的二项式命名法学名的相关联？"]
["province", "bishop"]	["谁是entity的主教？"]
["consecratedBy", "religion"]	["entity的的宗教是什么？"]
["title", "aircraftTransport"]	["什么是entity的标题的飞机运输？"]
["place", "operator"]	["哪个公司entity的地址属于？"]
["knownFor", "title"]	["什么是entity的成名作的名字？"]
["director", "placeOfBirth"]	["entity的导演出生在哪里？"]
["author", "genre"]	["entity的原著作者属于哪种类型？"]
["after", "knownFor"]	["什么是entity的知道的？"]
["title", "subsid"]	["entity的标题子公司的名称是什么？"]
["deathPlace", "lieutenantGovernor"]	["谁是entity逝世的地方现任副州长？"]
["doctoralStudents", "birthPlace"]	["entity的博士生出生在哪里？"]
["creator", "genre"]	["entity的创造者属于哪种类型？"]
["birthPlace", "southeast"]	["哪个城市位于entity的出生地的东南部？"]
["writer", "honorificSuffix"]	["entity的作者的敬语后缀是什么？"]
["notableCommanders", "title"]	["什么是entity的著名指挥官的名字？"]
["notableCommanders", "religion"]	["entity的著名指挥官的宗教是什么？"]
["areas", "butterfly"]	["在entity中发现了什么样的蝴蝶？"]
["order", "leader"]	["谁是P由entity担任领导的机构的领导者？"]
["areas", "label"]	["entity的标签是什么？"]
["deathPlace", "event"]	["哪个文件","事件影响了entity逝世的地方的灭绝并在欧洲结束了第二次世界大战？"]
["platform", "type"]	["哪种类型是entity的运行平台？"]
["branch", "leaderName"]	["谁是entity的的领导者？"]
["city", "ethnicGroups"]	["entity的所在城市属于哪个民族？"]
["birthPlace", "nickname"]	["entity的出生地的昵称是什么？"]
["predecessor", "house"]	["entity的前代产品有什么样的立法机构？"]
["father", "placeOfDeath"]	["entity的父亲死在哪里？","这是entity的父亲的死亡地点？"]
["house", "eventEnd"]	["什么时候entity所属的王朝解散了？"]
["nominee", "birthPlace"]	["entity的提名人出生在哪里？"]
["deathPlace", "p"]	["如何用汉语拼音拼写entity逝世的地方？","entity逝世的地方的中文拼音是什么？"]
["allegiance", "commander"]	["我们应该称之为entity的指挥官？"]
["beforeElection", "primeminister"]	["谁是entity一CLPM任领导人的首相？"]
["播放地區", "label"]	["entity的标签是什么？"]
["leaderName", "office"]	["entity的领导人的职务是什么？"]
["inaugural", "primeminister"]	["谁是就职entity的政客的首相？"]
["居住地", "leaderName"]	["谁是entity的居住地的领导者？"]
["areas", "officialReligion"]	["哪一项是entity第一修正案的宗教条款中规定的受宪法保护的权利？"]
["leaderName", "primeminister"]	["谁是entity的领导人的首相？"]
["managerclubs", "gk"]	["谁是entity执教的俱乐部的守门员？"]
["region", "region"]	["entity所在的行政区属于哪个列表？","哪个列表包含entity所在的行政区？"]
["programmingLanguage", "logo"]	["entity的开发语言的标识是什么？"]
["popplace", "p"]	["如何用汉语拼音拼写entity的主要分布区域？","entity的主要分布区域的中文拼音是什么？"]
["company", "sisterNames"]	["什么是entity的运营公司的姐妹名字？"]
["father", "office"]	["entity的父亲的职务是什么？"]
["precededBy", "voices"]	["谁是entity的一CLPM部作品中的配音演员？"]
["國家", "label"]	["entity所属的国家的标签是什么？"]
["mother", "father"]	["谁是entity的母亲的父亲？"]
["stadium", "establishedTitle"]	["哪个法律","行为使举办entity的体育场成立？"]
["nationality", "legislature"]	["什么是entity的国籍的立法机关？"]
["usedBy", "ideology"]	["什么是entity的使用者的政治意识形态？"]
["parent", "affiliations"]	["entity的主公司隶属于什么机构？"]
["主君", "deathPlace"]	["entity效力的君主死在哪里？","entity效力的君主的死亡地点是什么？"]
["lyrics", "spouse"]	["谁是entity的的配偶？"]
["現任成員", "occupation"]	["entity的现任成员从事的职业是什么？","entity的现任成员的工作是什么？"]
["nationalteam", "gk"]	["谁是entity的守门员？"]
["managerclubs", "type"]	["哪种类型是entity执教的俱乐部？"]
["state", "callingCode"]	["什么是entity所在的州中的调用代码？"]
["headquarters", "upperHouse"]	["什么是entity的总部地址的上议院？"]
["producer", "parents"]	["谁养育了entity的制片人？","谁把entity的制片人抚养长大？","谁是entity的制片人的父母？"]
["workplaces", "founder"]	["谁是entity的工作地点的创始人？","谁创立了entity的工作地点？"]
["title", "successor"]	["谁是entity的标题的继承人？"]
["father", "father"]	["谁是entity的父亲的父亲？"]
["next", "directedby"]	["谁导演entity的一CLPM届奖项？","谁是entity的一CLPM届奖项的导演？"]
["house", "titleLeader"]	["entity所属的王朝中领导者的头衔是什么？"]
["residence", "northwest"]	["哪个地方位于entity的居住地的西北部？"]
["leader", "children"]	["entity的领导人孩子的名字是什么？"]
["champion", "list1."]	["谁是第一个在entity的总冠军中添加内容的人？"]
["deathPlace", "leader"]	["谁是entity逝世的地方的领导者？"]
["workInstitution", "industry"]	["entity的工作机构所属的产业类型是什么？"]
["areaServed", "southeast"]	["哪个城市位于entity的服务区域的东南部？"]
["nationality", "currency"]	["entity的国籍的货币是什么？"]
["combatant", "establishedEvent"]	["什么时候entity创建既定事件？"]
["almaMater", "tree"]	["什么树大部分种植在entity的母校？"]
["title", "bishop"]	["谁是entity的标题的主教？"]
["headquarters", "region"]	["entity的总部地址属于哪个列表？","哪个列表包含entity的总部地址？"]
["locale", "largestmetro"]	["entityEV的所属地点最大的地铁在哪里？"]
["身份", "ethnicGroups"]	["entity所在的朝代属于哪个民族？"]
["nominee", "primeminister"]	["谁是entity的提名人的首相？"]
["nominee", "placeOfBirth"]	["entity的提名人出生在哪里？"]
["afterElection", "primeminister"]	["谁是entity的胜选者的首相？"]
["predecessor", "type"]	["哪种类型是entity的前代产品？"]
["deathPlace", "sovereigntyType"]	["什么是entity逝世的地方的主权类型？"]
["deputy", "birthPlace"]	["entity的代理人出生在哪里？"]
["start", "architect"]	["谁是entity的起点站的建筑师？","谁建立了entity的起点站？"]
["house", "founder"]	["谁是entity所属的王朝的创始人？","谁创立了entity所属的王朝？"]
["mostSuccessfulClub", "ground"]	["entity的生涯LC里A最成功的俱乐部的主场在哪里？"]
["placeOfDeath", "leaderTitle"]	["entity的逝世地址在哪里作为leaderTitle？"]
["popplace", "lowerHouse"]	["什么是entity的主要分布区域的下议院？"]
["channel", "keyPeople"]	["谁是entity的电视台的首席执行官？"]
["province", "type"]	["哪种类型是entity？"]
["經紀公司", "sisterNames"]	["什么是entity的经济公司的姐妹名字？"]
["職業", "ancestor"]	["entity的职业的祖先在哪里？"]
["popplace", "subdivisionType"]	["entity的主要分布区域的行政级别是什么？"]
["occupation", "industry"]	["entity的职业所属的产业类型是什么？"]
["citizenship", "officialLanguages"]	["entity的公民身份的官方语言是什么？"]
["placeOfBirth", "p"]	["如何用汉语拼音拼写entity的出生地？","entity的出生地的中文拼音是什么？"]
["company", "genre"]	["entity的运营公司属于哪种类型？"]
["region", "north"]	["哪个城市位于entity所在的行政区的北部？"]
["mother", "placeOfBirth"]	["entity的母亲出生在哪里？"]
["predecessor", "keyPeople"]	["谁是entity的前代产品的首席执行官？"]
["designer", "type"]	["哪种类型是entity的设计者？"]
["influences", "relatives"]	["谁是entity的人的亲戚？"]
["next", "father"]	["谁是entity的一CLPM届奖项的父亲？"]
["所在", "label"]	["entity所在的城市的标签是什么？"]
["主演", "spouse"]	["谁是entity的演员的配偶？"]
["start", "settlementType"]	["entity的起点站属于哪个地区？"]
["occupation", "ancestor"]	["entity的职业的祖先在哪里？"]
["subdivisionName", "event"]	["哪个文件","事件影响了entity的灭绝并在欧洲结束了第二次世界大战？"]
["origin", "postalCodeType"]	["entity的发源地使用什么类型的邮政编码？"]
["author", "chancellor"]	["谁是entity的原著作者的总理？"]
["母校", "chairman"]	["谁是entity的母校的主席？"]
["operator", "list1."]	["谁是第一个在entity的相关运营A方是中添加内容的人？"]
["poleTeam", "logo"]	["entity的优胜车队的标识是什么？"]
["house", "caption"]	["entity所属的王朝的标识是什么？"]
["title", "stylisticOrigins"]	["entity的标题的风格起源是什么？"]
["territory", "leaderParty"]	["什么是entity覆盖的区域的领导方？"]
["deputy", "deathPlace"]	["entity的代理人死在哪里？","entity的代理人的死亡地点是什么？"]
["spouse", "family"]	["谁是entity的配偶的家人？","谁是entity的配偶的父亲？"]
["residence", "p"]	["如何用汉语拼音拼写entity的居住地？","entity的居住地的中文拼音是什么？"]
["garrison", "type"]	["哪种类型是entity驻守的区域？"]
["stadium", "legislature"]	["什么是举办entity的体育场的立法机关？"]
["garrison", "areaCodeType"]	["entity驻守的区域有哪些类型的区号？"]
["stadium", "nickname"]	["举办entity的体育场的昵称是什么？"]
["managerclubs", "topScorer"]	["谁是entity执教的俱乐部的最佳射手？"]
["workInstitution", "founder"]	["谁是entity的工作机构的创始人？","谁创立了entity的工作机构？"]
["placeOfBirth", "subdivisionName"]	["entity的出生地的细分名称是什么？"]
["battles", "languages"]	["谁使用entity参加的战争的区域语言？"]
["owner", "predecessor"]	["谁是entity的总裁的前身？"]
["leader", "president"]	["谁是entity的领导人的总裁？"]
["constituencyWestminster", "party"]	["entity的选区属于哪一方？"]
["title", "homeStadium"]	["什么是entity的标题的主场？"]
["ethnicity", "group"]	["entity属于哪个组？"]
["owner", "subdivisionType"]	["entity的总裁的行政级别是什么？"]
["operator", "subsid"]	["entity的相关运营A方是子公司的名称是什么？"]
["label", "leaderTitle"]	["entity的标签在哪里作为leaderTitle？"]
["president", "event"]	["哪个文件","事件影响了entity效力的总统的灭绝并在欧洲结束了第二次世界大战？"]
["cities", "southwest"]	["位于entity西南的是什么？"]
["territory", "religion"]	["entity覆盖的区域的宗教是什么？"]
["subdivisionName", "countryHeading"]	["entity最终得到了什么？"]
["associatedActs", "genre"]	["entity的相关艺人属于哪种类型？"]
["deathPlace", "soil"]	["entity逝世的地方的州土壤是什么？"]
["locale", "soil"]	["entityEV的所属地点的州土壤是什么？"]
["origin", "operator"]	["哪个公司entity的发源地属于？"]
["areas", "timezoneDst"]	["entity属于哪个时区？"]
["stadium", "location"]	["举办entity的体育场在哪里？"]
["placeOfBirth", "caption"]	["entity的出生地的标识是什么？"]
["出生地", "caption"]	["entity的出生地的标识是什么？"]
["居住地", "leaderTitle"]	["entity的居住地在哪里作为leaderTitle？"]
["主演", "settlementType"]	["entity的演员属于哪个地区？"]
["birthplace", "legislature"]	["什么是entityO第一CLPM支登场的球队的立法机关？"]
["ground", "legislature"]	["什么是entity的地址的立法机关？"]
["educate", "affiliation"]	["谁隶属于entity？"]
["developer", "commander"]	["我们应该称之为entity的开发商的指挥官？"]
["currentMembers", "birthPlace"]	["entity的现任成员出生在哪里？"]
["seat", "leaderName"]	["谁是entity的行政中心的领导者？"]
["location", "highestpoint"]	["entity的位置的最高点是什么？"]
["workInstitution", "mascot"]	["什么是entity的工作机构的吉祥物？"]
["notableCommanders", "deputy"]	["谁是entity的著名指挥官的部长？"]
["國家", "currency"]	["entity所属的国家的货币是什么？"]
["製作", "divisions"]	["哪个唱片公司的entity的制作方拥有？"]
["籍貫", "governmentType"]	["entity的籍贯政府类型是什么？"]
["播放地區", "governor"]	["谁是entity的现任州长？"]
["spouse", "governmentType"]	["entity的配偶政府类型是什么？"]
["currentclub", "p"]	["如何用汉语拼音拼写entity？","entity的中文拼音是什么？"]
["successor", "nationality"]	["entity的一CLPM代产品的国籍是什么？"]
["locationCity", "callingCode"]	["什么是entity的所在地中的调用代码？"]
["place", "mammal"]	["entity的地址中濒临灭绝的哺乳动物是什么？"]
["office", "motto"]	["什么是entity担任的要职的座右铭？"]
["affiliation", "president"]	["谁是entity的隶属机构的总裁？"]
["capital", "areaCodeType"]	["entity的首都有哪些类型的区号？"]
["occupation", "producer"]	["谁是entity的职业的制片人？"]
["house", "leader"]	["谁是entity所属的王朝的领导者？"]
["placeOfDeath", "nickname"]	["entity的逝世地址的昵称是什么？"]
["locale", "postalCode"]	["什么是entityEV的所属地点的邮政编码？"]
["主持", "placeOfBirth"]	["entity的主持人出生在哪里？"]
["music", "honorificPrefix"]	["entity的配乐作者的荣誉称号是什么？"]
["動畫製作", "divisions"]	["哪个唱片公司的entity的动画拥有？"]
["director", "almaMater"]	["entity的导演从哪里毕业？"]
["producer", "almaMater"]	["entity的制片人从哪里毕业？"]
["awards", "language"]	["entity获得的奖项的语言是什么？"]
["residence", "governmentType"]	["entity的居住地政府类型是什么？"]
["writer", "family"]	["谁是entity的作者的家人？","谁是entity的作者的父亲？"]
["occupation", "company"]	["哪个公司entity的职业属于？"]
["genusAuthority", "nationality"]	["entity的属PRU（生物PRU（）的命名者的国籍是什么？"]
["出生地點", "subdivisionName"]	["entity的出生地点的细分名称是什么？"]
["军阶", "caption"]	["entity的军阶的标识是什么？"]
["origin", "officialReligion"]	["哪一项是entity的发源地第一修正案的宗教条款中规定的受宪法保护的权利？"]
["similar", "caption"]	["P与entity相似的车型的标识是什么？"]
["after", "leaderTitle"]	["entity的在哪里作为leaderTitle？"]
["唱片公司", "legislature"]	["什么是entity与entity哪家唱片公司的立法机关？"]
["經紀公司", "governmentType"]	["entity的经济公司政府类型是什么？"]
["fam", "region"]	["entity的属于哪个列表？","哪个列表包含entity的？"]
["capital", "postalCodeType"]	["entity的首都使用什么类型的邮政编码？"]
["city", "translitLang1Type"]	["什么是entity的所在城市的翻译方案？"]
["deathPlace", "lowerHouse"]	["什么是entity逝世的地方的下议院？"]
["birthPlace", "titleLeader"]	["entity的出生地中领导者的头衔是什么？"]
["after", "family"]	["谁是entity的的家人？","谁是entity的的父亲？"]
["doctoralAdvisor", "almaMater"]	["entity的博士生导师从哪里毕业？"]
["deathPlace", "religion"]	["entity逝世的地方的宗教是什么？"]
["developer", "predecessor"]	["谁是entity的开发商的前身？"]
["combatant", "founder"]	["谁是entity的创始人？","谁创立了entity？"]
["自治體", "region"]	["entity的地方政府属于哪个列表？","哪个列表包含entity的地方政府？"]
["operator", "logo"]	["entity的相关运营A方是的标识是什么？"]
["religion", "leaderName"]	["谁是entity信仰的领导者？"]
["citizenship", "sovereigntyType"]	["什么是entity的公民身份的主权类型？"]
["garrison", "governor"]	["谁是entity驻守的区域的现任州长？"]
["allegiance", "event"]	["哪个文件","事件影响了entity的灭绝并在欧洲结束了第二次世界大战？"]
["residence", "upperhouse"]	["我们用什么名字来称呼entity的居住地的上院？"]
["combatant", "postalCodeType"]	["entity使用什么类型的邮政编码？"]
["代表作", "author"]	["谁是entity的代表作品的作者？"]
["製作", "type"]	["哪种类型是entity的制作方？"]
["popplace", "title"]	["什么是entity的主要分布区域的名字？"]
["countryofbirth", "areaCodeType"]	["entity的祖国有哪些类型的区号？"]
["title", "before"]	["谁是entity的标题的上一任？"]
["title", "manager"]	["谁是entity的标题的经理？"]
["cityofbirth", "isoCode"]	["什么是entity的出生地的ISO代码？"]
["products", "callingCode"]	["什么是entity的产品中的调用代码？"]
["播放地區", "languages"]	["谁使用entity的区域语言？"]
["region", "officialReligion"]	["哪一项是entity所在的行政区第一修正案的宗教条款中规定的受宪法保护的权利？"]
["usedBy", "religion"]	["entity的使用者的宗教是什么？"]
["電視台", "callingCode"]	["什么是播放entity的电视台中的调用代码？"]
["birthPlace", "timezoneDst"]	["entity的出生地属于哪个时区？"]
["plat", "label"]	["entity的发布平台的标签是什么？"]
["自治體", "subdivisionName"]	["entity的地方政府的细分名称是什么？"]
["owner", "lcb"]	["谁是entity的总裁的着名前球员？"]
["primaryUser", "regionalLanguages"]	["哪种语言是entity的主要用户中的区域语言？"]
["spouse", "placeOfDeath"]	["entity的配偶死在哪里？","这是entity的配偶的死亡地点？"]
["locationCity", "timezone"]	["entity的所在地属于哪个时区？"]
["代表作", "occupation"]	["entity的代表作品从事的职业是什么？","entity的代表作品的工作是什么？"]
["next", "stadium"]	["entity的一CLPM届奖项在哪里训练？"]
["incumbent", "before"]	["谁是entity的现任的上一任？"]
["deathplace", "north"]	["哪个城市位于entity逝世的地方的北部？"]
["publisher", "type"]	["哪种类型是entity的出版商？"]
["國家", "establishedEvent"]	["什么时候entity所属的国家创建既定事件？"]
["languages", "agency"]	["哪个机构entity使用的语言属于哪个？"]
["after", "executiveProducer"]	["谁是entity的的执行制片人？"]
["主演", "nationality"]	["entity的演员的国籍是什么？"]
["successor", "governor"]	["谁是entity的一CLPM代产品的现任州长？"]
["knownFor", "voices"]	["谁是entity的成名作中的配音演员？"]
["allegiance", "sovereigntyType"]	["什么是entity的主权类型？"]
["next", "office"]	["entity的一CLPM届奖项的职务是什么？"]
["garrison", "northeast"]	["位于entity驻守的区域东北的地方是什么？"]
["citizenship", "leaderName"]	["谁是entity的公民身份的领导者？"]
["所在", "subdivisionName"]	["entity所在的城市的细分名称是什么？"]
["before", "deathPlace"]	["entity的前任死在哪里？","entity的前任的死亡地点是什么？"]
["出生地", "label"]	["entity的出生地的标签是什么？"]
["locale", "governingBody"]	["entityEV的所属地点的管理机构是什么？"]
["founder", "deathPlace"]	["entity的创始人死在哪里？","entity的创始人的死亡地点是什么？"]
["使用平台", "updatemodel"]	["entity的使用平台更新模型的名称是什么？"]
["出生地點", "subdivisionType"]	["entity的出生地点的行政级别是什么？"]
["出生地", "settlementType"]	["entity的出生地属于哪个地区？"]
["出生地", "capital"]	["entity的出生地的首都在哪里？"]
["next", "tenants"]	["哪个俱乐部entity的一CLPM届奖项租给哪个？","哪个俱乐部做租客entity的一CLPM届奖项？"]
["placeOfBirth", "nickname"]	["entity的出生地的昵称是什么？"]
["territory", "northwest"]	["哪个地方位于entity覆盖的区域的西北部？"]
["placeOfDeath", "lowerHouse"]	["什么是entity的逝世地址的下议院？"]
["nation", "titleLeader"]	["entity所属国家中领导者的头衔是什么？"]
["precededBy", "executiveProducer"]	["谁是entity的一CLPM部作品的执行制片人？"]
["occupation", "southeast"]	["哪个城市位于entity的职业的东南部？"]
["precededBy", "company"]	["哪个公司entity的一CLPM部作品属于？"]
["出生地點", "governor"]	["谁是entity的出生地点的现任州长？"]
["placeOfBirth", "governingBody"]	["entity的出生地的管理机构是什么？"]
["territory", "ethnicGroups"]	["entity覆盖的区域属于哪个民族？"]
["owner", "callingCode"]	["什么是entity的总裁中的调用代码？"]
["workplaces", "caption"]	["entity的工作地点的标识是什么？"]
["currentMembers", "currentMembers"]	["谁是entity的现任成员的现任乐队领队？"]
["inaugural", "predecessor"]	["谁是就职entity的政客的前身？"]
["occupation", "divisions"]	["哪个唱片公司的entity的职业拥有？"]
["platform", "influenced"]	["谁影响了entity的运行平台？"]
["primaryUser", "leaderTitle"]	["entity的主要用户在哪里作为leaderTitle？"]
["primaryUser", "religion"]	["entity的主要用户的宗教是什么？"]
["primaryUser", "upperHouse"]	["什么是entity的主要用户的上议院？"]
["时代", "governmentType"]	["entity哪个时代政府类型是什么？"]
["education", "mascot"]	["什么是entity的吉祥物？"]
["order", "demonym"]	["我们称之为P由entity担任领导的机构的人是谁？"]
["deathPlace", "demonym"]	["我们称之为entity逝世的地方的人是谁？"]
["placeOfDeath", "ethnicGroups"]	["entity的逝世地址属于哪个民族？"]
["title", "ethnicGroups"]	["entity的标题属于哪个民族？"]
["現任成員", "before"]	["谁是entity的现任成员的上一任？"]
["author", "placeOfDeath"]	["entity的原著作者死在哪里？","这是entity的原著作者的死亡地点？"]
["seat", "establishedTitle"]	["哪个法律","行为使entity的行政中心成立？"]
["leaderName", "party"]	["entity的领导人属于哪一方？"]
["deputy", "as"]	["entity的代理人相当于什么？"]
["官方文字", "ancestor"]	["entity的官方语言的祖先在哪里？"]
["國家首都名稱", "settlementType"]	["entity的首都属于哪个地区？"]
["incumbent", "bishop"]	["谁是entity的现任的主教？"]
["after", "honorificSuffix"]	["entity的的敬语后缀是什么？"]
["influences", "notableStudents"]	["谁是entity的人最着名的学生？"]
["influenced", "religion"]	["受到entity影响的人的宗教是什么？"]
["alongside", "religion"]	["P与entityA同时在任的政客的宗教是什么？"]
["placeOfBirth", "religion"]	["entity的出生地的宗教是什么？"]
["children", "religion"]	["entity的子女的宗教是什么？"]
["currentMembers", "spouse"]	["谁是entity的现任成员的配偶？"]
["successor", "president"]	["谁是entity的一CLPM代产品的总裁？"]
["educate", "p"]	["如何用汉语拼音拼写entity？","entity的中文拼音是什么？"]
["inaugural", "before"]	["谁是就职entity的政客的上一任？"]
["senators", "before"]	["谁是entity的参议员的上一任？"]
["region", "cities"]	["哪个列表按人口排列entity所在的行政区中的城市地区？"]
["spouse", "office"]	["entity的配偶的职务是什么？"]
["monarch", "before"]	["谁是entity的上一任？"]
["教育程度", "demonym"]	["我们称之为entity的毕业学校的人是谁？"]
["最大城市名稱", "areaCodeType"]	["entityA最大的城市有哪些类型的区号？"]
["國家首都名稱", "leaderTitle"]	["entity的首都在哪里作为leaderTitle？"]
["leaderName", "predecessor"]	["谁是entity的领导人的前身？"]
["influences", "deathPlace"]	["entity的人死在哪里？","entity的人的死亡地点是什么？"]
["doctoralStudents", "notableStudents"]	["谁是entity的博士生最着名的学生？"]
["nationality", "title"]	["什么是entity的国籍的名字？"]
["senators", "successor"]	["谁是entity的参议员的继承人？"]
["basinCountries", "officialLanguages"]	["entity的沿线国家的官方语言是什么？"]
["leaderName", "successor"]	["谁是entity的领导人的继承人？"]
["father", "religion"]	["entity的父亲的宗教是什么？"]
["senators", "placeOfBirth"]	["entity的参议员出生在哪里？"]
["spouse", "occupation"]	["entity的配偶从事的职业是什么？","entity的配偶的工作是什么？"]
["province", "translitLang1Type"]	["什么是entity的翻译方案？"]
["region", "tree"]	["什么树大部分种植在entity所在的行政区？"]
["leader", "as"]	["entity的领导人相当于什么？"]
["state", "subdivisionName"]	["entity所在的州的细分名称是什么？"]
["neighbor", "upperHouse"]	["什么是entity的邻近城市的上议院？"]
["successor", "industry"]	["entity的一CLPM代产品所属的产业类型是什么？"]
["origin", "regionalLanguages"]	["哪种语言是entity的发源地中的区域语言？"]
["incumbent", "honorificSuffix"]	["entity的现任的敬语后缀是什么？"]
["next", "issue"]	["谁是entity的一CLPM届奖项的父母？"]
["territory", "leader"]	["谁是entity覆盖的区域的领导者？"]
["所在地區", "subdivisionType"]	["entity的所属区域的行政级别是什么？"]
["籍貫", "leaderTitle"]	["entity的籍贯在哪里作为leaderTitle？"]
["mother", "deathPlace"]	["entity的母亲死在哪里？","entity的母亲的死亡地点是什么？"]
["monarch", "predecessor"]	["谁是entity的前身？"]
["neighbors", "subdivisionType"]	["entity的邻近区的行政级别是什么？"]
["mother", "house"]	["entity的母亲有什么样的立法机构？"]
["region", "caption"]	["entity所在的行政区的标识是什么？"]
["prev", "mother"]	["谁是entity的的母亲？"]
["predecessor", "nationality"]	["entity的前代产品的国籍是什么？"]
["mother", "religion"]	["entity的母亲的宗教是什么？"]
["combatant", "eventEnd"]	["什么时候entity解散了？"]
["allegiance", "callingCode"]	["什么是entity中的调用代码？"]
["title", "ground"]	["entity的标题的主场在哪里？"]
["languages", "region"]	["entity使用的语言属于哪个列表？","哪个列表包含entity使用的语言？"]
["subdivisionName", "north"]	["哪个城市位于entity的北部？"]
["studio", "satServ"]	["什么是制作entity的工作室的母公司？"]
["教育程度", "chancellor"]	["谁是entity的毕业学校的总理？"]
["capital", "northwest"]	["哪个地方位于entity的首都的西北部？"]
["incumbent", "issue"]	["谁是entity的现任的父母？"]
